,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,min_salary,max_salary,avg_salary,company_txt,state_txt,same_state,age_company,python_yn,spark_yn,rstudio_yn,aws_yn,excel_yn
0,Data Scientist,$108K-$145K (Glassdoor Est.),"Secure our Nation, Ignite your Future

Summary

The successful candidate will possess a diverse range of data-focused skills and experience, both technical and analytical. They will have a strong desire and capability for problem solving, data analysis and troubleshooting, analytical thinking, and experimentation.

Duties, Tasks & Responsibilities
Working with large, complex, and disparate data sets
Designing and implementing innovative ways to analyze and exploit the Sponsors data holdings
Researching and reporting on a wide variety of Sponsor inquiries
Raising proactive inquiries to the Sponsor based on observations and proposed data analysis/exploitation
Solving difficult, non-routine problems by applying advanced analytical methodologies, and improving analytic methodologies
Developing custom searches
Communicating and coordinating with internal and external partners as needed
Required Experience, Skills, & Technologies
Thorough knowledge of appropriate analytic tools and methodologies in one or more of the following:
Applied mathematics (e.g. probability and statistics, formal modeling, computational social sciences)
Computer programming (e.g. programming languages, math/statistics packages, computer science, machine learning, scientific computing)
Ability to code or script in one or more general programming language
Experience with and theoretical understanding of algorithms for classification, regression, clustering, and anomaly detection
Knowledge of relational databases, including SQL and large-scale distributed systems (e.g. Hadoop)
Expertise with statistical data analysis (e.g. linear models, multivariate analysis, stochastic models, sampling methods)
Demonstrated effectiveness in collecting information and accurately representing/visualizing it to non-technical third parties
TS/SCI with Polygraph
Desired Experience, Skills & Technologies
Previous investigative experience, using a combination of technical and analytic skills
#LI-SS2

ManTech International Corporation, as well as its subsidiaries proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a Disabled Veteran, Recently Separated Veteran, Active Duty Wartime or Campaign Badge Veteran, Armed Forces Services Medal, or any other characteristic protected by law.

If you require a reasonable accommodation to apply for a position with ManTech through its online applicant system, please contact ManTech's Corporate EEO Department at (703) 218-6000. ManTech is an affirmative action/equal opportunity employer - minorities, females, disabled and protected veterans are urged to apply. ManTech's utilization of any external recruitment or job placement agency is predicated upon its full compliance with our equal opportunity/affirmative action policies. ManTech does not accept resumes from unsolicited recruiting firms. We pay no fees for unsolicited services.

If you are a qualified individual with a disability or a disabled veteran, you have the right to request an accommodation if you are unable or limited in your ability to use or access http://www.mantech.com/careers/Pages/careers.aspx as a result of your disability. To request an accommodation please click careers@mantech.com and provide your name and contact information.",4.1,"ManTech
4.1","Chantilly, VA","Herndon, VA",5001 to 10000 employees,1968,Company - Public,Research & Development,Business Services,₹100 to ₹500 billion (INR),-1,108,145,126.5,"ManTech
",VA,0,52,0,0,0,0,0
1,Data Scientist,$108K-$145K (Glassdoor Est.),"We are looking for a Data Scientist intern who will support our real estate development team with insights gained from analyzing NYC real estate data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization and using models to test the effectiveness of different courses of action. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities
Work with stakeholders throughout the organization to identify opportunities for leveraging company data to drive business solutions.
Mine and analyze data from company databases to drive optimization and improvement of product development, marketing techniques and business strategies.
Assess the effectiveness and accuracy of new data sources and data gathering techniques.
Develop custom data models and algorithms to apply to data sets.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Develop company A/B testing framework and test model quality.
Coordinate with different functional teams to implement models and monitor outcomes.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Qualifications
Strong problem solving skills with an emphasis on product development.
Experience using statistical computer languages (R, Python, SLQ, etc.) to manipulate data and draw insights from large data sets.
Interest working with and creating data architectures.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Interested in:
Coding knowledge and experience with several languages: C, C++, Java,
JavaScript, etc.
Knowledge and experience in statistical and data mining techniques: GLM/Regression, Random Forest, Boosting, Trees, text mining, social network analysis, etc.
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Experience using web services: Redshift, S3, Spark, DigitalOcean, etc.
Experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks, etc.
Experience analyzing data from 3rd party providers: Google Analytics, Site Catalyst, Coremetrics, Adwords, Crimson Hexagon, Facebook Insights, etc.
Experience with distributed data/computing tools: Map/Reduce, Hadoop, Hive, Spark, Gurobi, MySQL, etc.
Experience visualizing/presenting data for stakeholders using: Periscope, Business Objects, D3, ggplot, etc.",-1.0,AlphaBCD,Remote,-1,-1,-1,-1,-1,-1,-1,-1,108,145,126.5,AlphaBCD,Remote,0,-1,1,1,0,0,1
2,Data Scientist,$108K-$145K (Glassdoor Est.),"Who We Are

Were Americas largest mortgage lender, closing loans in all 50 states. J.D Power ranked Quicken Loans Highest in Customer Satisfaction in Primary Mortgage Origination for the past nine consecutive years, 2010 2018. The company was also ranked highest in the nation for client satisfaction among mortgage servicers by J.D. Power for four consecutive years, 2014 through 2017, each year the company was eligible. Theres a simple reason weve been so successful: We care about the people we work with.

If youre tired of stuffy, bureaucratic workplaces, then youll be delighted to find something different here. We strive to make a creative, fun and collaborative environment you simply wont find anywhere else. Quicken Loans was named #1 in ESSENCE Magazines first ever list of Best Places to Work for African Americans in 2015. We've been on Computerworld's ""Best Places to Work in IT"" list for 13 years running, hitting #1 the last five years. We were also ranked #14 in FORTUNE Magazines list of ""100 Best Companies to Work For"" in 2018, remaining in the top-30 for the past 15 years.

What Youll Do/Need

The Data Scientist at Quicken Loans delves into the recesses of large data sets of structured, semi-structured and unstructured data to discover hidden knowledge about our business and to develop methods to leverage that knowledge within our line of business. The successful candidate combines strengths in mathematics and applied statics, computer science, visualization capabilities and a healthy sense of exploration and knowledge acquisition.

Responsibilities
Leverage your knowledge of programming, mathematics and computer science to transform the way our company does business
Translate business opportunities into data-driven machine learning, big data and modeling solutions that revamp our processes or produce data products
Develop and collect data for ad-hoc and statistical analyses
Identify methods that allow continuous and automated statistical testing to enhance the predictability of deployed models
Maintain relationships between business area clients, Business Intelligence and Technology so all teams are aligned to meet team objectives
Work with Project Managers to develop detailed project timelines
Summarize and present conclusions and solutions
Communicate complex analyses clearly to all audiences
Requirements
Masters degree or above in a STEM field, including but not limited to: computer science, statistics, applied mathematics, operations research, engineering, economics, social sciences, physics, chemistry
4 years of experience providing advanced analytics within a business setting
1 year of data science implementation experience within a business setting
Experience working with raw and missing data
Understanding of programming fundamentals
Understanding of statistics
Excellent communication skills
Whatll Make You Special
Experience with data visualization tools and time series
Working knowledge of relational databases and standard SQL query methods
Proficiency in at least one general programming language such as Python, Java or C/C++
Experience working with big data within a Hadoop environment
Experience working with R, SAS or other statistical packages
Advanced experience with statistical, econometric or data-mining tools and methods
Experience with linear models (linear regression, generalized linear regression, logistic regression), and nonlinear modeling techniques
Knowledge of advanced nonlinear techniques, including smoothing and ensemble methods
What Youll Get
Excellent benefits package that includes a 401(k) match, medical/dental/vision insurance and much more
Opportunities to participate in professional and personal development programs, including personal empowerment coaching, leadership training and ongoing personal growth training
Other incentives, contests and rewards, including trips, event tickets, cash prizes and more
Why We're Different

Corporate politics not your strong suit? The anti-corporate culture of Quicken Loans gives our team members the initiative to build solutions together and grow both personally and professionally. At Quicken Loans, were in the business of putting roofs over our clients heads, but we certainly arent putting ceilings on our team members careers. If youre interested in working in a place with a philosophy thats truly different, apply today.",3.9,"Quicken Loans
3.9","Detroit, MI","Detroit, MI",10000+ employees,1985,Company - Private,Lending,Finance,₹500+ billion (INR),"Citi, Bank of America, Wells Fargo",108,145,126.5,"Quicken Loans
",MI,1,35,1,0,0,0,1
3,Sr Data Scientist,$108K-$145K (Glassdoor Est.),"JOB DUTIES:Senior Data Scientist for Ecolab, Inc. at its facility in Naperville, IL. Actively engage with internal business stakeholders to understand business challenges and deliver robust, data driven solutions. Integrate inputs from subject matter experts with statistical, mathematical, predictive modeling and business analysis skills to manage and manipulate complex high-volume data from a variety of sources. Validate proof of concept (POCs) by analyzing organizational data and present insights to determine the potential to be taken up as a full-scale funded analytics project. Collaborate closely with Business Partners/Analysts, Data Engineers, System Administrators and other Data Scientists to develop and integrate innovative AI/ML models into useable data products and services. Leverage open source tools like Python along with Microsoft Azure cloud based big data/AI environments to implement scalable predictive/prescriptive models. Present the results of your work to all levels within the organization, offering actionable real-time insights that have a measurable and ongoing impact on business. Partner with customers and leading digital companies to leverage cutting edge technology (machine learning, streaming analytics and real big data) to creatively solve problems and disrupt existing business models.

REQUIREMENTS: Masters degree in Data Science, Business Analytics, Math, Statistics or related field with an emphasis on analytics and four (4) years of experience working and participating on a cross functional project team, from inception to delivery. Experience must also include two (2) years of post-bachelors progressive experience in all of the following: Deliver data-driven solutions by applying problem-solving and analytics to business challenges; Articulate & present complex mathematical solutions in a simple manner that most will understand; Use statistics/analytics/visualization tools, including Microsoft Azure Suite, Azure ML, PowerBI, Python and SQL; Manipulate complex high-volume data from a variety of sources using statistical, mathematical, predictive modeling and business analysis.

EX: OUT

Our Commitment to Diversity and Inclusion

At Ecolab, we believe the best teams are diverse and inclusive, and we are on a journey to create a workplace where every associate can grow and achieve their best. We are committed to fair and equal treatment of associates and applicants. We recruit, hire, promote, transfer and provide opportunities for advancement on the basis of individual qualifications and job performance. In all matters affecting employment, compensation, benefits, working conditions, and opportunities for advancement, we will not discriminate against any associate or applicant for employment because of race, religion, color, creed, national origin, citizenship status, sex, sexual orientation, gender identity and expressions, genetic information, marital status, age, disability, or status as a covered veteran.

In addition, we are committed to furthering the principles of Equal Employment Opportunity (EEO) through Affirmative Action (AA). Our goal is to fully utilize minority, female, disabled and covered veteran individuals at all levels of the workforce. Ecolab is a place where you can grow your career, own your future and impact what matters.

We will consider for employment all qualified applicants, including those with criminal histories, in a manner consistent with the requirements of applicable state and local laws, including the City of Los Angeles Fair Chance Initiative for Hiring Ordinance and the San Francisco Fair Chance Ordinance.",3.6,"Ecolab
3.6","Naperville, IL","Saint Paul, MN",10000+ employees,1923,Company - Public,Chemical Manufacturing,Manufacturing,₹500+ billion (INR),-1,108,145,126.5,"Ecolab
",IL,0,97,1,0,0,1,0
4,Data Scientist,$108K-$145K (Glassdoor Est.),"New England Biolabs is seeking a Data Scientist to build, improve and utilize the varied and complex data sources we use to make excellent biological products.

NEB provides a world-class working environment including high quality computational infrastructure, skilled colleagues, and opportunities to exchange knowledge with internal and external scientists.

Primary Responsibilities:

Construct, extend, and maintain scientific software tools used at NEB to study enzymes and their activities. Collaborate with members of the Research, Product Development, Production, and Quality Control groups to identify patterns and trends in quantitative scientific data.

Required Qualifications and Experience:
Degree in a computational field and meaningful experience working with varied and complex datasets.
Software development skills (Ruby, Python, R, or others).
Appreciation for simple, high-quality, maintainable software.
Enthusiasm for data modeling, storage and visualization.
Demonstrated oral and written communication skills.
Strong work ethic, emphasizing both efficiency and quality of work.
Accessible evidence of software development history (e.g., GitHub).
Passion for learning.
Interest in applications of biologically derived tools to address important challenges.
Preferred Qualifications and Experience:
Expertise with high volume analysis of data from many sources.
Experience with virtualization technologies (kubernetes, cvmfs, lxc).
Experience with infrastructure automation tools (Ansible, Chef, Salt, etc.)
Modern web development skills (HTML5, Rails, Vue.js, etc.).
Cluster computing and scientific workflow frameworks (Galaxy, Nextflow, snakemake, CWL, etc.).
New England Biolabs, Inc. is an Equal Opportunity/Affirmative Action Employer of Minorities, Females, Disabled and Protected Veterans and a participating employer in the Employment Verification (E-Verify) program. More in-depth details of EEO are available here.

If you need an accommodation for any part of the employment process because of a medical condition or disability, please send an email to hr@neb.com or call 978-927-5054 to let us know the nature of your request.",4.7,"New England Biolabs
4.7","Ipswich, MA","Ipswich, MA",201 to 500 employees,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",108,145,126.5,"New England Biolabs
",MA,1,46,1,0,0,0,1
5,Data Scientist,$108K-$145K (Glassdoor Est.),"Preferred Qualifications
Masters degree or doctorate in statistics or another applied science field or equivalent experience
Considerable experience with statistical tools and packages (e.g., SAS, SPSS, Minitab, R) and methods to incorporate statistical results into analyses
Proficiency in at least one programming language, such as Python, Java or C/C++
Strong knowledge of statistical methods, particularly in the areas of modeling and business analytics
Comfort manipulating and analyzing complex, high-volume, high-dimensionality data from varying sources
Ability to communicate complex quantitative analysis in a clear, precise and actionable manner
Experience with modeling and forecasting
Working knowledge of standard querying with SQL
Advanced hands-on experience with the Microsoft Office suite
Proven track record as a lead resource for the business
Strong written and verbal communication skills
Job Summary

The Data Scientist works with business owners and Technology teams to provide deep analysis and guidance on crucial business opportunities across many areas within the company. They draw upon their knowledge and experience in applied statistics, data mining, modeling and forecasting to ensure that results are accurate and clear, providing actionable opportunities for business leaders. The Data Scientist must be detail-oriented and highly aware of the impact of their analysis and solutions across the company. They take initiative and focus on finding innovative solutions for a myriad of business challenges.

Responsibilities
Work closely with various teams across the company to identify and solve business challenges utilizing large structured, semi-structured and unstructured data
Drive the collection of new data and the refinement of existing data sources for deep statistical analysis and modeling
Clean data in preparation for analysis and modeling
Perform statistical summaries and tests for relevant business questions
Develop predictive statistical, behavioral or other models via supervised and unsupervised machine learning, statistical analysis and other modeling techniques
Translate business opportunities into data-driven machine learning and modeling solutions that revamp the business process
Deploy applicable models into production system for business use
Perform statistical testing to enhance the predictability of deployed models
Summarize conclusions and solutions for presentation
Develop strong relationships with subject matter experts
Develop best practices for experimentation
Who We Are

Amrock is one of the largest providers of title insurance, property valuations and settlement services in the nation. The company is an authorized agent of the highest-rated title insurers in the industry, and its solutions power many of the nation's largest residential lending institutions. Amrock is a preferred provider to five of the top 20 Fortune 100 companies and many of the largest residential mortgage lenders. The company is based in Detroit and retains regional operating centers in Ohio, California, Pennsylvania and Texas.

Disclaimer

This is an outline of the primary responsibilities of this position. As with everything in life, things change. The tasks and responsibilities can be changed, added to, removed, amended, deleted and modified at any time by the leadership group.",3.6,"Amrock
3.6","Detroit, MI","Detroit, MI",1001 to 5000 employees,1997,Company - Private,Real Estate,Real Estate,₹50 to ₹100 billion (INR),-1,108,145,126.5,"Amrock
",MI,1,23,1,0,0,0,0
6,Data Scientist,$108K-$145K (Glassdoor Est.),"JOB CATEGORY:

Information Services

REQUISITION NUMBER:

351281

ds

A BIT ABOUT OUR DATA SCIENCE & ANALYTICS TEAM

Kinship’s Data Science & Analytics team is core to our strategy. We’re using digital, data and customer insights to transform our business by finding answers to problems that we’ve often never asked ourselves before. Our vast data assets are being combined to build a 360° view of Pets and Pet Owners to not only power Kinship’s businesses but also influence the next great ideas in the Petcare space. This role will be key in helping us understand the power of our data, and how this translates into value for our company, Pets, and Pet Owners. Frequently the projects will be ambiguous, but that’s part of the fun; you will determine the best way to leverage our data to tell the right story for any given audience.

HOW YOU’LL CREATE A BETTER WORLD FOR PETS
Apply data science approaches to understand and predict pet and pet owner behaviors
Use machine learning techniques, visualizations, & statistical analysis to gain insight into various data sets – some readily available, and some you create and curate yourself
Collaborate with internal and external teams to ensure we focus on pet-centric product and service recommendations
Support new pet technology businesses and partners by generating actionable insights from our data assets
Develop compelling stories that provide insight into the drivers of business performance and Pet/Pet Owner behavior
WHO WE NEED TO CHART THE FUTURE OF PET CARE

We strive to hire people who are:

Optimistic. Those who’s boundlessly energy and enthusiasm for what’s next shines through in everything they do. We seek to work with people who are intrinsically happy, and who will drive our vision and purpose while managing the complexities of our businesses.

Purposefully Inquisitive. Those who are courageous and use their deep business insights to cultivate innovation. We want the trailblazers in tech. Those who are entrepreneurs at heart, ask the tough questions, adapt quickly to new situations, and analyze data in new ways to push our big ideas forward.

Open to All. Those who are inclusive leaders, committed to learning, and leveraging our differences as strengths. We hire people who are naturally collaborative and thrive in a flat and flexible organization. Those who are thoughtful communicators, and seek to foster meaningful relationships across our community of diverse partners.

And for this role, we hope you have the following skills we require to round out our team:
Exceptional written & verbal communication, coupled with critical thinking skills.
Truly inspired by, and want to live, our purpose of creating a better world for pets.
1+ years’ experience in a data science role handling varied and complex data
Proficiency in machine learning modeling and statistical thinking (random forest, decision trees, supervised and unsupervised modeling, etc.)
Hands-on experience with Python is required; Familiarity with PySpark is also desirable
Comfortable with ambiguity, with a passion for collaboration to achieve objectives
A Bachelor’s degree in quantitative field (economics, statistics, business, computer science) or equivalent experience
If you also had these experiences, you’d knock it out of the dog park:
Passion for growing and strengthening a business using data driven approaches
Familiarity with cloud-based computing services e.g. AWS, Databricks, etc.
Enjoys explaining how models and systems work to both non-technical and technical stakeholders.
.

Nearest Major Market: Portland Oregon
Job Segment:
Scientific, Database, Computer Science, Cloud, Statistics, Engineering, Technology, Data

Apply now »",3.9,"Mars
3.9",Oregon,"Mc Lean, VA",10000+ employees,1911,Company - Private,Food & Drink Manufacturing,Manufacturing,₹500+ billion (INR),-1,108,145,126.5,"Mars
",Oregon,0,109,1,1,0,1,0
7,"Scientist I/II, MSAT",$108K-$145K (Glassdoor Est.),"SUMMARY

We are looking for a highly-motivated team member with protein purification and or AAV vector purification experience to be a key contributor in Manufacturing Science and Technology(MSAT) Purification and Analyticalgroup. Incumbent will be responsible for improving process understanding and supporting manufacturing investigations of AAV-based gene therapy drug products.

RESPONSIBILITIES
Perform scale-down or at scale downstream process troubleshooting, summarize findings, and author technical reports/memos
Design and execute experimental plans to support functions associated with process variability reduction, product quality improvement, and process streamlining
Conduct root cause analysis, FMEA, and develop corrective and preventive actions to reduce likelihood of recurrence
Assist with evaluation of downstream process changes
Mentor and provide guidance to Research Associates
Communicate with other departments and all stakeholders to drive investigation completion
Participate and present data as a member of MSAT
Participate in scientific meetings and produces original peer-reviewed publications.
Keep current with advances in technologies related to bioprocessing
Required Skills:
Extensive knowledge of chromatography and filtration techniques required
Design and conduct small-scale experiments to support at-scale purification evaluation with AKTA systems
Hands-on experience on viral vector purification, depth filtration, Tangential Flow Filtration (TFF), membrane chromatography, H/UPLC, and analysis techniques
Knowledge of commercial biologic manufacturing operations, cGMPs, validation, and regulatory affairs
Maintain and organize accurate records
Excellent verbal and written communication skills
Desired Skills:
Basic formulation knowledge a plus
EDUCATION
PhD inchemistry, chemical engineering, biochemistry or biology or equivalent and 0-2+ years experience in biologic downstream process development
MS in chemistry, chemical engineering, biochemistry or biology or equivalent and 5+ years experience in biologic downstream process development
BS in chemistry, chemical engineering, biochemistry or biology or equivalent and8+ years experience in biologic downstream process development
CONTACTS

Other associates, assistants, scientists, and senior scientists in Manufacturing Sciences, Analytical Chemistry, Process Development and Quality Control.

SUPERVISOR RESPONSIBILITY

May be responsible for supervision of Research Associates",3.6,"BioMarin Pharmaceutical
3.6","Novato, CA","San Rafael, CA",1001 to 5000 employees,1997,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,₹50 to ₹100 billion (INR),"Genentech, Ultragenyx Pharmaceutical, Gilead Sciences",108,145,126.5,"BioMarin Pharmaceutical
",CA,0,23,0,0,0,0,1
8,Data Scientist/Analyst,$108K-$145K (Glassdoor Est.),"Data Scientist/Analyst to develop tools to process large data sets in order to categorize results, identify outliers/anomalies, visualize results for further investigation and analysis, and continually optimize processes to improve efficiency and accuracy of the data processing routines in a government-operated, Modeling and Simulation (M&S) lab facility. Candidates must be able to work both independently and as part of team. Candidates must be comfortable and capable of taking verbal and written inputs and guidance from other team members to create data processing and analysis tools as necessary. Candidates will be expected to follow relevant SW development processes and procedures, including documentation and briefings on tool capabilities and use. All M&S team members will perform other duties as assigned in support of the M&S lab including documentation, configuration and data management, planning, and collaboration as required. Strong written and verbal communication skills are required.

Required Skills:
2yrs+ Experience
Experience developing and utilizing cross-platform (Windows/Linux) data process and analysis tools
Experience with various computer languages, programs, and scripting languages such as Python, MATLAB, R, Bash, SQL, etc
Experience with data visualization tools
Ability to use Microsoft Office Products
Strong written and verbal communication skills
Desired Skills:
Experience with compiled languages as appropriate to gain throughput efficiencies for mature processes and routines such as C/C++
Experience with distributed computing using high performance computing clusters
Experience with using Machine Learning, Artificial Intelligence, or other decision aids to improve issue identification in large data sets",4.6,"Torch Technologies, Inc.
4.6","Huntsville, AL","Huntsville, AL",1001 to 5000 employees,2002,Company - Private,Aerospace & Defence,Aerospace & Defence,₹10 to ₹50 billion (INR),-1,108,145,126.5,"Torch Technologies, Inc.
",AL,1,18,1,0,0,0,0
9,Data Scientist - Contract,$108K-$145K (Glassdoor Est.),"We are an ambitious, well-funded startup with plans to change a $1 trillion-dollar global industry. This is no ordinary startup. We have a proven management team that has done it before, done it before together, and done it before in the travel industry. The company is overflowing with fiercely intelligent people who have tons of energy and an upbeat view of the future. We all act like owners and we get a huge kick out doing great work and doing it fast. We like it even more when we come up with a fresh way to solve a problem. Above all, we are devoted to solving customer problems, because that’s at the center of everything we do.
ABOUT YOU
You’re an experienced data scientist with skills honed on internet commerce scale information and comfortable contributing to and improving a production system.
You’re comfortable operating within an agile environment working with cross discipline teams
You’re excited about working in a python production and DS stack and have defendable positions on which tools you choose.
You’ve got proven experience with some combination of scikit-learn, TensorFlow, and PyTorch and have delivered scalable decision systems as part of a team
You believe ML can be a powerful tool when combined with human in the loop domain experts
You’re Intrigued by the challenge of what a machine based travel agent could look like

We’d like to see demonstrated knowledge in one or more of the following areas
Delivering recommendation systems with direct experience tuning models for personalization at consumer internet scale
Implementation and continuous improvement of a pricing system. Background in pricing theory and building market driven pricing system highly desired
Experience with modeling and implementing a loyalty program
Building production level computer vision APIs
ABOUT THE GIG
You will be focussing on building new machine learning services to meet the needs of our internal and external customers
We put the customer first - our goal is to reduce their cognitive load, provide transparent and actionable recommendations and improve the business trip with data and machines. All work you’ll do is in direct support of that data science mission.
You’ll listen directly to customers, identify opportunities and form hypotheses. Build prototypes and test them in production. Iteration and measurement are essential parts of what we do.
Be integral part of a cross-discipline team including product, engineering and UX that’s looking to redefine the travel shopping experience from a data-centric point of view.
Refine and improve a decision system that powers our unit economics. Understand and simulate impact of changes to company wide KPIs.
Help build a data powered narrative that we can repeatedly deliver to our customer at scale and with high fidelity.
Refine and improve our systems that mine large scale travel marketplace data, our consumer purchase behavior and the traveler experience timeline.
ABOUT US
We are positive, passionate, playful, and always pushing to be better. Our team is a hodgepodge of challenge seekers, travel gurus, startup junkies, and data-miners who see the big picture.

YOU WANT TO TALK TO US IF…
· You are motivated by disrupting the norm.
· You have a great sense of humor and take your profession seriously, but not yourself.
· Your entrepreneurial spirit drives your bias for action.
· You are all about constructive feedback - you can dish it out and you can take it.
· You thrive in the frenetic energy of a startup.

Upside Travel is an equal opportunity employer and encourages people of all backgrounds, genders, ethnicities, abilities, and sexual orientations to apply. We are committed to being an inclusive place to work, while maintaining a workforce that represents the communities we serve.",4.0,"Upside Business Travel
4.0",Remote,"Washington, DC",51 to 200 employees,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,108,145,126.5,"Upside Business Travel
",Remote,0,5,1,0,0,0,0
